title,url,emoji,source,jupyter,colab,type,date,views,main,additional,rating,comment
Как подружить Python и базы данных SQL. Подробное руководство,https://proglib.io/p/kak-podruzhit-python-i-bazy-dannyh-sql-podrobnoe-rukovodstvo-2020-02-27,📝🌟,https://realpython.com/python-sql-libraries/,,,перевод,2020-02-27,22741.0,Python,,5.0,
Python и динамическое программирование на примере задачи о рюкзаке,https://proglib.io/p/python-i-dinamicheskoe-programmirovanie-na-primere-zadachi-o-ryukzake-2020-02-04,🔢,https://towardsdatascience.com/choosing-fast-with-dynamic-programming-b6916da543f4,,,перевод,2020-02-04,6289.0,Python,,4.0,
Как опубликовать свою Python библиотеку на PyPI,https://proglib.io/p/kak-opublikovat-svoyu-python-biblioteku-na-pypi-2020-01-28,📝,https://towardsdatascience.com/make-your-own-python-package-6d08a400fc2d,,,перевод,2020-01-28,3031.0,Python,,3.0,
Веб-скрапинг по расписанию с Django и Heroku,https://proglib.io/p/veb-skraping-po-raspisaniyu-s-heroku-i-django-2020-01-17,📝,https://towardsdatascience.com/scheduled-web-scraping-with-django-and-heroku-e832e1363c7a?source=rss----7f60cf5620c9---4,,,перевод,2020-01-17,7271.0,Python,,3.0,
Иллюстрированное руководство по изменению формы массивов NumPy,https://proglib.io/p/illyustrirovannoe-rukovodstvo-po-izmeneniyu-formy-mnogomernyh-massivov-numpy-2020-01-12,🔢,https://towardsdatascience.com/reshaping-numpy-arrays-in-python-a-step-by-step-pictorial-tutorial-aed5f471cf0b,,,перевод,2020-01-12,3977.0,Python,,3.0,
Итерируемся правильно: 20 приемов использования в Python модуля itertools,https://proglib.io/p/iteriruemsya-pravilno-20-priemov-ispolzovaniya-v-python-modulya-itertools-2020-01-03,🌟,,,https://colab.research.google.com/github/matyushkin/lessons/blob/master/itertools/common.ipynb,статья,2020-01-03,8558.0,Python,,5.0,
"Не изобретать велосипед, или Обзор модуля collections в Python",https://proglib.io/p/ne-izobretat-velosiped-ili-obzor-modulya-collections-v-python-2019-12-15,🌟,,,https://colab.research.google.com/github/matyushkin/lessons/blob/master/collections/collections.ipynb,статья,2019-12-15,7736.0,Python,,5.0,
Назад в будущее: практическое руководство по путешествию во времени с Python,https://proglib.io/p/nazad-v-budushchee-prakticheskoe-rukovodstvo-po-puteshestviyu-vo-vremeni-s-python-2019-12-01,🌟,,,https://colab.research.google.com/github/matyushkin/lessons/blob/master/time/time_related.ipynb,статья,2019-12-01,4301.0,Python,,5.0,
Тест на знания о необычном поведении Python,https://proglib.io/tests/test-na-obshchie-znaniya-dlya-middle-python-razrabotchika,🙋,,,,тест,2019-11-01,52887.0,Python,,4.0,
10 советов как научить ребенка программировать на Python,https://proglib.io/p/10-sovetov-o-tom-kak-nauchit-rebenka-programmirovat-na-python-2019-10-12,🧒,,,,статья,2019-10-12,11910.0,Python,,3.0,
Пишем программу для автоматического распознавания объектов с веб-камер,https://proglib.io/p/pishem-programmu-dlya-avtomaticheskogo-raspoznavaniya-obektov-s-veb-kamer-2019-10-05,📝,https://www.pyimagesearch.com/2019/04/15/live-video-streaming-over-network-with-opencv-and-imagezmq/,,,перевод,2019-10-05,19436.0,Python,,3.0,
Спасательный круг для собеседования на Python-разработчика,https://proglib.io/p/py-interview,🕴,,,,перевод,2019-07-25,26566.0,Python,собеседование,2.0,
Требования к Python-разработчику на мировом рынке 2019 года,https://proglib.io/p/python-dev-2019,🕴,https://hackernoon.com/what-do-companies-expect-from-python-devs-in-2019-f8b585a1ddf,,,перевод,2019-04-29,44381.0,Python,,2.0,
Быстрый путеводитель по Python: cписки за 7 минут,https://proglib.io/p/python-lists,,https://www.freecodecamp.org/news/a-quick-yet-complete-tour-of-lists-in-python3-in-just-seven-minutes-437e615110d0/,,,перевод,2019-04-19,10064.0,Python,списки,2.0,
Pythran: как заставить работать код Python со скоростью С++,https://proglib.io/p/pythran,🤔,https://medium.com/@olivier.borderies/pythran-python-at-c-speed-518f26af60e8,,,перевод,2019-02-12,27081.0,Python,Pythran,2.0,
Видео 10 лучших докладов о Python на конференции PyCon,https://proglib.io/p/top10-pycon,▶️,https://realpython.com/must-watch-pycon-talks/,,,статья,2018-11-08,7590.0,Python,доклады,3.0,
"ТОП-15 трюков в Python 3, делающих код понятнее и быстрее",https://proglib.io/p/python-tricks,,,,,перевод,2018-08-28,60202.0,Python,,3.0,
ТОП-10 англоязычных публикаций по Python за апрель 2018,https://proglib.io/p/python-april-2018,🔗,https://github.com/Mybridge/python-articles/blob/master/src/05-2018.md,,,перевод,2018-05-21,6263.0,Python,,2.0,
