title,url,type,date,views,main,additional,rating,comment
Как подружить Python и базы данных SQL. Подробное руководство,https://proglib.io/p/kak-podruzhit-python-i-bazy-dannyh-sql-podrobnoe-rukovodstvo-2020-02-27,перевод,2020-02-27,,Python,,5,
Python и динамическое программирование на примере задачи о рюкзаке,https://proglib.io/p/python-i-dinamicheskoe-programmirovanie-na-primere-zadachi-o-ryukzake-2020-02-04,перевод,2020-02-04,,Python,,4,
Как опубликовать свою Python библиотеку на PyPI,https://proglib.io/p/kak-opublikovat-svoyu-python-biblioteku-na-pypi-2020-01-28,перевод,2020-01-28,,Python,,3,
Веб-скрапинг по расписанию с Django и Heroku,https://proglib.io/p/veb-skraping-po-raspisaniyu-s-heroku-i-django-2020-01-17,перевод,2020-01-17,,Python,,3,
Иллюстрированное руководство по изменению формы массивов NumPy,https://proglib.io/p/illyustrirovannoe-rukovodstvo-po-izmeneniyu-formy-mnogomernyh-massivov-numpy-2020-01-12,перевод,2020-01-12,,Python,,3,
Итерируемся правильно: 20 приемов использования в Python модуля itertools,https://proglib.io/p/iteriruemsya-pravilno-20-priemov-ispolzovaniya-v-python-modulya-itertools-2020-01-03,статья,2020-01-03,,Python,,5,
"Не изобретать велосипед, или Обзор модуля collections в Python",https://proglib.io/p/ne-izobretat-velosiped-ili-obzor-modulya-collections-v-python-2019-12-15,статья,2019-12-15,,Python,,5,
Назад в будущее: практическое руководство по путешествию во времени с Python,https://proglib.io/p/nazad-v-budushchee-prakticheskoe-rukovodstvo-po-puteshestviyu-vo-vremeni-s-python-2019-12-01,статья,2019-12-01,,Python,,5,
Тест на знания о необычном поведении Python,https://proglib.io/tests/test-na-obshchie-znaniya-dlya-middle-python-razrabotchika,тест,2019-11-01,,Python,,4,
10 советов как научить ребенка программировать на Python,https://proglib.io/p/10-sovetov-o-tom-kak-nauchit-rebenka-programmirovat-na-python-2019-10-12,статья,2019-10-12,,Python,,3,
Пишем программу для автоматического распознавания объектов с веб-камер,https://proglib.io/p/pishem-programmu-dlya-avtomaticheskogo-raspoznavaniya-obektov-s-veb-kamer-2019-10-05,перевод,2019-10-05,,Python,,3,
Спасательный круг для собеседования на Python-разработчика,https://proglib.io/p/py-interview,перевод,2019-07-25,,Python,собеседование,2,
Требования к Python-разработчику на мировом рынке 2019 года,https://proglib.io/p/python-dev-2019,перевод,2019-04-29,,Python,,2,
Быстрый путеводитель по Python: cписки за 7 минут,https://proglib.io/p/python-lists,перевод,2019-04-19,,Python,списки,2,
Pythran: как заставить работать код Python со скоростью С++,https://proglib.io/p/pythran,перевод,2019-02-12,,Python,Pythran,2,
Видео 10 лучших докладов о Python на конференции PyCon,https://proglib.io/p/top10-pycon,статья,2018-11-08,,Python,доклады,3,
"ТОП-15 трюков в Python 3, делающих код понятнее и быстрее",https://proglib.io/p/python-tricks,перевод,2018-08-28,,Python,,3,
ТОП-10 англоязычных публикаций по Python за апрель 2018,https://proglib.io/p/python-april-2018,перевод,2018-05-21,,Python,,2,
Парсинг сайтов на Python: подробный видеокурс и программный код,https://proglib.io/p/parsing-course,подборка,2018-02-05,,Python,парсинг,3,
"Регулярные выражения, пособие для новичков. Часть 1",https://habr.com/ru/post/115825/,перевод,2011-03-20,795000,Python,регулярные выражения,3,
"Регулярные выражения, пособие для новичков. Часть 2",https://habr.com/ru/post/115436/,перевод,2011-03-20,225000,Python,регулярные выражения,3,
Как сделать из 123456789 число 100 или 0,https://habr.com/ru/post/115066/,статья,2011-03-07,104000,Python,алгоритмы,4,
Программирование и научные вычисления на языке Python (курс на Викиверситете,https://ru.wikiversity.org/wiki/%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_%D0%B8_%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D1%8B%D0%B5_%D0%B2%D1%8B%D1%87%D0%B8%D1%81%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BD%D0%B0_%D1%8F%D0%B7%D1%8B%D0%BA%D0%B5_Python,курс,2011-03-01,,Python,"курс, научные вычисления, Python 2",5,"Курс написан давно, поэтому вресия Python 2"
Нейросети в помощь геймдев-художнику: машинное обучение для создания игрового пиксель-арта,https://proglib.io/p/neyroseti-v-pomoshch-geymdev-hudozhniku-mashinnoe-obuchenie-dlya-sozdaniya-igrovogo-piksel-arta-2020-04-13,перевод,2020-04-13,,Глубокое обучение,"арт, геймдев",4,
Просто добавь нейросеть: 7 исторических фильмов в 4K и 60 FPS,https://proglib.io/p/prosto-dobav-neyroset-7-istoricheskih-filmov-v-4k-i-60-fps-2020-03-15,подборка,2020-03-15,,Глубокое обучение,видео,5,
Учим искусственный интеллект раскрашивать контурные изображения персонажей аниме,https://proglib.io/p/sketch2color-uchim-iskusstvennyy-intellekt-raskrashivat-konturnye-izobrazheniya-personazhey-anime-2019-12-30,перевод,2019-12-30,,Глубокое обучение,,3,
"Голосовой DeepFake, или Как работает технология клонирования голоса",https://proglib.io/p/golosovoy-deepfake-ili-kak-rabotaet-tehnologiya-klonirovaniya-golosa-2019-12-11,перевод,2019-12-11,,Глубокое обучение,,3,
DeepFake-туториал: создаем собственный дипфейк в DeepFaceLab,https://proglib.io/p/deepfake-tutorial-sozdaem-sobstvennyy-dipfeyk-v-deepfacelab-2019-11-16,инструкция,2019-11-16,,Глубокое обучение,,3,
Автоматическое распознавание автомобильных номеров на Raspberry Pi,https://proglib.io/p/avtomaticheskoe-raspoznavanie-avtomobilnyh-nomerov-na-raspberry-pi-2019-11-01,перевод,2019-11-01,,Компьютерное зрение,"автомобильные номера, распознавание",3,
Учебный план освоения компьютерного зрения за 8 недель,https://proglib.io/p/cv-plan,подборка,2019-07-21,,Компьютерное зрение,,3,
Чек-лист для отладки нейронной сети: 5 шагов на пути к успеху,https://proglib.io/p/networks-debugging,перевод,2019-04-12,,Глубокое обучение,,3,
TensorFlow умер. Да здравствует TensorFlow 2.0!,https://proglib.io/p/tensorflow2,перевод,2019-04-03,,Глубокое обучение,,3,
Фреймворк глубокого обучения в 2019: выбираем из 10 лучших,https://proglib.io/p/dl-frameworks,перевод,2019-02-06,,Глубокое обучение,,3,
